BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
10-196690,Ville de Nantes,None,Yves Saunière,,,M. le Maire2 rue de l'Hôtel de Ville,44094,Nantes cedex 1,,02-40-41-93-26,,02-40-41-92-55,yves.sauniere@mairie-nantes.fr,http://www.nantes.fr/,https://marchespublics.nantesmetropole.fr/ville-nantes/,,,,,False,False,,False,False
12-235363,Abbaye de Saint-Savin,None,Ophélie GUILHERMOND,,,Place de la Libération BP9,86310,Saint-savin,,05-49-84-38-69,,05-49-84-30-01,oguilhermond@abbaye-saint-savin.fr,,,,,,,False,False,,False,False
15-129550,CCAS,None,Madame la Présidente du CCAS,,,1/5 rue du Griffon,35105,Rennes Cedex 3,,02-23-62-20-77,,02-23-62-20-69,ccas.achats-marches@ccasrennes.fr,http://marches.e-megalisbretagne.org,,,,,,False,False,,False,False
15-164701,Ville de Saint-Ouen,None,M. le Maire,,,"CCAS de la ville de Saint-Ouen,4 Place de la République",93400,Saint-Ouen,,,,,,,,,,,,False,False,,False,False
15-166092,Ville de Nice,None,M.le maire,,,5 rue de l'Hôtel de Ville,06364,Nice Cedex 4,,03-34-97-13-44-70,,(+33)04-97-13-29-19,,,,,,,,False,False,,False,False
15-171667,Département des Alpes-Maritimes,None,Monsieur le Président du Conseil départemental des Alpes-Maritimes,,,", direction générale adjointe pour les ressources, les moyens et la modernisation de l'administration - direction des finances, de l'achat et de la commande publique - service des marchés - cadam - 147 Bd du Mercantour - tour Jean Moulin - bureau 630 - B.P. 3007 (du lundi au vendredi, de 9h à 11h45 et de 13h30 à 16h)",06201,Nice cedex 3,,04-97-18-63-68,,04-89-04-29-89,,https://www.e-marches06.fr,,,,,,False,False,,False,False
15-180567,Commune de Saint-Pierre,None,M. le Maire,,,Hôtel de ville - B.P. 342 -,97448,Saint-Pierre Cedex,,02-62-35-78-00,,02-62-35-78-09,,http://ville-saintpierre.fr,https://ville-saintpierre.local-trust.com,,,,,False,False,,False,False
15-193162,CCI Bordeaux,None,M. le Président de la C.C.I. de Bordeaux,,,17 place de la Bourse,33076,Bordeaux cedex,,05-56-79-50-24,,,npelletier@bordeaux.cci.fr,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
15-28206,Ville de La Roche-sur-Yon,None,M. le Maire,,,"1, place Napoléon",85000,La Roche-sur-yon,,02-51-47-46-16,,,gaelle.pavageau@larochesuryon.fr,https://www.ville-larochesuryon.fr,https://www.marches-securises.fr,,,,,False,False,,False,False
15-66532,Ville de La Grande Motte,None,Mme CALMON Christine,"Service gestion domaine public, privé - contentieux",,Place du 1er Octobre 1974,34280,La Grande Motte,,04-67-29-03-01,,,gestiondesdomaines@lagrandemotte.fr,http://www.lagrandemotte.fr,,,,,,False,False,,False,False
15-7840,ESID de Brest,None,M. Le Bot Bernard (chef Sect° Soutien Achats),,,BCRM DE BREST - ESID DE BREST - CC16 -,29240,Brest cédex 9,,02-98-14-41-83,,02-98-14-81-07,bernard.le-bot@intradef.gouv.fr,http://www.marches-publics.gouv.fr,,,,,,False,False,,False,False
16-10979,Cté de Cnes du Grand Pontarlier,None,M. le Président,,,22 rue Pierre Déchanet BP 49,25301,Pontarlier cedex,,03-81-39-40-02,,03-81-39-87-16,ccgpmarches@grandpontarlier.fr,,http://www.grandpontarlier.fr,,,,,False,False,,False,False
16-15393,CAF des Pyrénées-Orientales,None,Service Gestion des moyens,,,"112, rue Henri Ey Bp49927",66019,Perpignan Cedex 09,,,,,achatsgdm@caf.fr,,,,,,,False,False,,False,False
16-205,Ville de Montfermeil,None,Mr Le Maire de Montfermeil,,,"7/11, place Jean Mermoz",93370,Montfermeil,,01-41-70-70-70,,01-41-70-70-72,,,http://www.klekoon.com/dematernet/formulaire_3_Detail_Consultation.asp?consultation_ID=62096,,,,,False,False,,False,False
16-22753,Agglomération Région de Compiègne,None,Monsieur le Président,,,Place de l'Hôtel de VilleCS 10034,60321,Compiègne,,,,,,,https://marches.agglo-compiegne.fr/,,,,,False,False,,False,False
16-2722,Commune de Sanguinet,None,M le Président de la Régie d'Assainissement Collectif,,,1 place de la mairie,40460,Sanguinet,,05-58-82-11-97,,01-57-64-14-52,servicestechniques@sanguinet.fr,,http://marchespublics.landespublic.org,,,,,False,False,,False,False
16-27660,Amiens Métropole,None,Le Président,,,Direction Développement Economique et Emploi 47 bd du cangeBP2720,80027,amiens cedex 1,,03-22-22-58-99,,03-22-97-14-79,,http://marchespublics.amiens-metropole.com,,,,,,False,False,,False,False
16-28656,Evolis 23,None,lefebvre aude,,,les grandes fougères,23300,noth,,(+33)5-55-89-86-00,,(+33)5-55-89-86-01,aude.lefebvre@evolis23.fr,http://www.evolis23.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
16-29027,Marine/DCSSF/DSSF Toulon,None,M. le Directeur du service de soutien de la flotte de Toulon,,,Bureau des appels d'offres SDFC/DOMA,83800,TOULON CEDEX 9,,,,,,http://www.ixarm.com,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,False,False,,False,False
16-32186,Département des Alpes-Maritimes,None,Monsieur le Président du Conseil Départemental des Alpes-Maritimes,,,"Direction générale adjointe pour les ressources, les moyens et la modernisation de l'administration - Direction des finances, de l'achat et de la commande publique - Service des marchés. C.A.D.A.M. - Tour Jean Moulin - 147 boulevard du Mercantour - 6ème étage - Bureau 630",06201,Nice cedex 03,,04-97-18-63-68,,04-89-04-29-89,marches@departement06.fr,https://www.e-marches06.fr,,,,,,False,False,,False,False
16-38395,Ville de Nice,None,Monsieur le Maire de la ville de Nice,,,5 rue de l'hôtel de Ville,06364,Nice cedex 4,,(+33)4-97-13-44-70,,(+33)4-97-13-29-19,dao@nicecotedazur.org,http://ww.e-marches06.fr,,,,,,False,False,,False,False
16-38799,Département des Alpes-Maritimes,None,Monsieur le Président du Conseil départemental des Alpes-Maritimes,,,"Direction générale adjointe pour les ressources, les moyens et la modernisation de l'administration - Direction des finances, de l'achat et de la commande publique - Service des marchés - Cadam - 147 Bd du Mercantour - Tour Jean Moulin- Bureau 630 B.P. 3007 - (du lundi au vendredi, de 9h à 11h45 et de 13h30 à 16h00)",06201,Nice cedex 03,,04-97-18-63-68,,04-89-04-29-89,marches@departement06.fr,https://www.e-marches06.fr,,,,,,False,False,,False,False
16-38838,Département de Seine Maritime,None,M. le Président du Département de Seine Maritime,,,Quai Jean MoulinCS 56101,76101,Rouen cedex 1,,,,02-35-03-55-42,,,,,,,,False,False,,False,False
16-40882,Bordeaux Metropole,None,Centre marchés DG mobilité,,,DAAF /1er étage Immeuble Laure gatetEsplanade Charles de Gaulle,33076,Bordeaux Cedex,,06-41-67-52-17,,,marchesmobilite@bordeaux-metropole.fr,http://marchespublics-aquitaine.org,,,,,,False,False,,False,False
16-41876,DSNA,None,Mme. Anne FEDRIGO,,,Direction de la Technique et de l'Innovation - 1 avenue du Dr Maurice Grynfogel - BP 53584,31035,TOULOUSE Cedex 1,,05-62-14-52-35,,05-62-14-52-94,,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
16-42002,Hôpital du Gier,None,Laurence NART,,,bp 168,42403,saint chamond,,04-26-48-91-65,,,m.danan@hopitaldugier.fr,http://www.hopitaldugier.fr,http://www.klekoon.com,,,,,False,False,,False,False
16-48572,Créteil-Habitat-SEMIC,None,,M le Directeur Général,FR107,"7, rue des Ecoles",94018,Créteil cédex,,(+33) 1-01-45-17-40-00,,(+33) 1-01-45-17-40-99,service.marche@creteil-habitat.com,http://www.creteil-habitat.com,http://www.creteil-habitat-marches.com,,http://www.creteil-habitat-marches.com,http://www.creteil-habitat-marches.com,,False,True,,False,True
16-48719,Le Grand Narbonne,None,,,FR811,12 boulevard Frédéric Mistral,None,Narbonne,,,,,commandepublique@legrandnarbonne.com,http://can.marcoweb.fr,,,http://can.marcoweb.fr,http://can.marcoweb.fr,,False,False,,False,False
16-48805,Commune de Saint-Joseph,None,Monsieur le Député-Maire de la Commune de Saint-Joseph - Service de la Commande Publique - Pôle administratif communal,,,"240, rue Raphaël Babet - BP 1",97480,Saint-Joseph,,(+33) 2-62-35-80-09,,(+33) 2-62-35-80-88,scp@saintjoseph.re,http://www.saintjoseph.re,http://www.saintjoseph.re,,,,,False,False,,False,False
